FSC-A,SSC-A,IgG,IgG2A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,AmCyan-A
103640.766,101664.45,311.85,97.200005,125.55,90.450005,46.440002,18.36,320.16,313.19998
138433.33,221871.16,1250.1,1032.75,1247.4,184.95,894.24005,10.8,1209.88,1845.5599
109643.766,120063.6,184.95,143.1,156.6,78.3,105.840004,-36.72,313.19998,416.44
117760.92,141417.9,297.0,195.75,234.90001,24.300001,209.52,62.640003,511.56,628.72
128716.28,162182.25,280.80002,240.3,260.55002,37.8,265.68002,-12.960001,468.63998,527.8
140073.69,176904.0,261.9,183.6,145.8,4.05,375.84003,-62.640003,469.8,531.27997
118576.04,132193.36,213.3,221.40001,282.15,9.45,280.80002,-49.68,382.8,364.24
108598.64,149245.2,245.7,175.5,388.80002,-48.600002,181.44,66.96,526.64,490.68
179671.4,262143.0,2147.85,2104.6501,2035.8,255.15001,1078.92,306.72,2020.72,3645.88
121321.32,115948.805,143.1,118.8,322.65,78.3,103.68001,152.28,388.59998,412.96
142444.52,161631.45,267.30002,157.95,345.6,-5.4,276.48,12.960001,498.8,512.72
184164.69,262143.0,1408.05,1040.85,1132.65,139.05,545.4,39.960003,1509.1599,2183.1199
124333.4,145798.66,287.55002,141.75,186.3,66.15,57.24,131.76001,394.4,448.91998
112922.64,120387.6,180.90001,274.05002,253.8,2.7,99.36,-19.44,290.0,397.87997
262143.0,69064.65,1030.05,823.5,643.95,81.0,126.36001,24.84,425.72,1151.88
122097.805,75432.6,184.95,229.5,176.85,36.45,220.32,-59.4,183.28,425.72
142033.28,150367.05,243.0,172.8,206.55,2.7,205.20001,54.000004,418.75998,513.88
145187.97,165777.3,369.9,183.6,35.100002,-9.45,237.6,-21.6,401.36,614.8
130929.805,144869.86,79.65,152.55,322.65,1.35,382.32,59.4,400.19998,577.68
159446.12,76346.555,338.85,324.0,286.2,28.35,15.120001,43.2,323.63998,332.91998
113916.24,126943.2,187.65001,198.45,201.15001,29.7,164.16,-39.960003,335.24,332.91998
131618.88,145450.36,267.30002,98.55,352.35,9.45,88.560005,64.8,505.75998,468.63998
90667.84,115377.75,176.85,190.35,240.3,36.45,162.0,-3.2400002,335.24,425.72
140759.08,169252.2,305.1,95.85,355.05002,12.150001,489.24002,-7.5600004,474.43997,452.4
122148.4,166167.45,190.35,237.6,152.55,17.550001,352.08002,16.2,433.84,467.47998
121236.68,138755.7,198.45,171.45,217.35,-4.05,25.920002,76.68,476.75998,501.12
106358.445,115098.305,184.95,190.35,89.1,12.150001,330.48,-36.72,374.68,331.75998
115759.92,138600.45,117.450005,245.7,334.80002,-1.35,492.48,-46.440002,515.04,482.56
120591.766,151222.95,280.80002,168.75,162.0,32.4,255.96,-7.5600004,451.24,502.28
108287.68,126166.95,176.85,44.55,356.4,78.3,271.08002,56.160004,375.84,401.36
124929.56,142456.05,248.40001,83.700005,282.15,47.25,322.92,8.64,484.87997,378.16
155963.0,196688.25,314.55002,392.85,440.1,72.9,440.64,42.120003,785.32,841.0
114279.64,162202.5,291.6,260.55002,135.0,75.6,291.6,16.2,459.36,606.68
158326.48,186773.86,163.35,211.95,373.95,43.2,108.00001,112.32001,502.28,675.12
138551.08,228271.5,1490.4,1557.9,1163.7001,257.85,1018.44006,336.96002,1339.7999,2301.44
127580.086,156170.7,272.7,252.45,441.45,59.4,216.00002,52.920002,428.03998,509.24
120859.484,126740.7,390.15,206.55,483.30002,41.850002,228.96,-21.6,349.16,443.12
95125.24,97098.75,163.35,222.75,290.25,52.65,27.000002,19.44,403.68,409.47998
122946.96,137245.05,186.3,189.0,183.6,-45.9,262.44,-71.28001,484.87997,448.91998
132119.36,125803.805,263.25,224.1,418.5,27.0,192.24,155.52,453.56,519.68
101910.24,122319.45,275.4,143.1,283.5,76.950005,233.28001,-102.600006,388.59998,415.28
101659.08,138784.05,220.05,233.55,48.600002,74.25,158.76001,-43.2,461.68,382.8
90398.28,79409.7,174.15001,225.45,209.25,55.350002,361.80002,-39.960003,277.24,328.28
108946.4,152176.05,207.90001,238.95,187.65001,-44.55,145.8,-123.12,472.12,618.27997
111164.52,151814.25,251.1,218.7,255.15001,-4.05,407.16,-4.32,406.0,493.0
124630.56,145237.05,211.95,224.1,83.700005,20.25,224.64001,-59.4,503.43997,481.4
117208.92,161003.7,232.2,268.65,425.25,90.450005,221.40001,35.640003,516.2,469.8
189039.77,249666.3,1929.15,1964.25,1941.3,214.65001,871.56006,372.6,1625.1599,3376.76
123237.68,130678.65,272.7,317.25,283.5,12.150001,110.16,4.32,368.87997,632.2
104419.08,66953.25,287.55002,257.85,118.8,17.550001,129.6,97.200005,248.23999,433.84
141593.52,130601.7,206.55,278.1,76.950005,47.25,90.72,18.36,401.36,393.24
110797.445,136837.36,184.95,135.0,229.5,14.85,158.76001,70.200005,364.24,432.68
123369.24,85514.4,282.15,325.35,274.05002,-29.7,221.40001,28.080002,338.72,522.0
174947.2,262143.0,2176.2,2054.7,2446.2,140.40001,1320.8401,141.48001,2255.04,3725.92
115941.164,134400.61,76.950005,43.2,217.35,28.35,240.84001,70.200005,360.75998,407.15997
117611.88,80221.055,288.9,498.15,253.8,48.600002,104.76,15.120001,312.03998,395.56
135027.48,136313.55,342.9,247.05,379.35,-24.300001,187.92001,6.4800005,335.24,432.68
115634.805,65070.0,261.9,136.35,201.15001,22.95,162.0,-133.92,234.31999,291.16
132954.72,155407.95,202.5,168.75,310.5,-9.45,100.44,20.52,338.72,548.68
41929.92,89592.75,236.25,206.55,182.25,-5.4,0.0,-21.6,371.19998,329.44
136249.25,207426.16,341.55002,170.1,388.80002,14.85,231.12001,51.840004,611.32,559.12
117821.64,160022.25,256.5,170.1,247.05,-9.45,412.56003,-1.08,441.96,522.0
98824.56,114470.555,217.35,121.5,529.2,121.5,228.96,4.32,380.47998,404.84
122274.445,146124.0,260.55002,279.45,234.90001,40.5,320.76,22.68,382.8,444.28
159100.2,220544.11,1143.4501,965.25,951.75,174.15001,670.68005,88.560005,1191.32,1806.12
139125.16,168616.36,383.4,340.2,344.25,-20.25,407.16,-35.640003,522.0,668.16
114109.445,112162.055,222.75,245.7,225.45,32.4,64.8,-86.4,397.87997,403.68
68327.484,36445.95,243.0,297.0,207.90001,37.8,37.800003,-2.16,196.04,200.68
114431.445,149438.25,290.25,167.40001,275.4,40.5,185.76001,49.68,517.36,522.0
129040.125,159152.86,303.75,306.45,197.1,49.95,106.920006,135.0,539.39996,444.28
120720.56,92896.2,255.15001,176.85,149.85,39.15,84.240005,77.76,367.72,541.72
171763.08,184122.45,465.75,353.7,409.05002,87.75,237.6,77.76,564.92,736.6
149219.4,172438.2,297.0,352.35,253.8,56.7,233.28001,124.200005,599.72,614.8
119126.2,117169.2,182.25,56.7,183.6,-4.05,228.96,189.0,301.6,440.8
102450.28,133003.36,214.65001,187.65001,116.1,4.05,220.32,-35.640003,502.28,430.36
119659.805,121828.055,237.6,217.35,143.1,54.0,84.240005,32.4,412.96,364.24
116931.086,74332.35,120.15,336.15,70.200005,52.65,145.8,-5.4,278.4,436.15997
104767.766,95524.65,214.65001,70.200005,144.45,10.8,275.40002,-28.080002,240.12,320.16
257606.44,262143.0,820.8,507.6,819.45,75.6,588.60004,211.68001,1165.7999,1349.08
100690.32,136368.9,201.15001,222.75,445.5,87.75,156.6,-24.84,452.4,525.48
102183.484,136715.86,198.45,149.85,144.45,24.300001,322.92,139.32,375.84,510.4
126162.36,168893.11,180.90001,187.65001,348.30002,67.5,371.52002,131.76001,484.87997,621.76
113366.086,132896.7,255.15001,58.05,398.25,47.25,166.32,39.960003,316.68,520.83997
120385.68,135000.0,214.65001,178.2,334.80002,8.1,305.64,35.640003,378.16,452.4
129904.0,164759.4,319.95,121.5,384.75,27.0,131.76001,171.72,445.44,560.27997
109871.0,127989.45,207.90001,206.55,310.5,5.4,130.68001,116.64001,406.0,479.08
128227.766,125178.75,179.55,108.0,122.85,28.35,214.92001,20.52,357.28,402.52
86752.32,37562.402,85.05,-45.9,-9.45,0.0,147.96,-45.36,92.799995,205.31999
110309.84,150742.36,136.35,97.200005,116.1,-1.35,199.8,125.28001,436.15997,482.56
103722.64,89421.305,290.25,159.3,193.05,54.0,268.92,-15.120001,288.84,394.4
154262.84,202084.2,417.15,230.85,272.7,-43.2,529.2,-36.72,578.83997,583.48
147616.77,196068.61,279.45,380.7,360.45,-12.150001,273.24002,-21.6,593.92,751.68
126382.24,160756.66,253.8,373.95,340.2,45.9,353.16,-10.8,575.36,593.92
115960.484,140092.2,217.35,211.95,176.85,6.75,230.04001,167.40001,474.43997,424.56
142413.25,126453.15,236.25,216.0,291.6,24.300001,174.96,-29.160002,334.08,377.0
213491.53,262143.0,1611.9,1553.85,1933.2001,184.95,716.04004,288.36002,1742.32,2987.0
77402.36,29540.701,75.6,141.75,22.95,-2.7,11.88,-22.68,117.159996,128.76
139811.48,201031.2,218.7,118.8,187.65001,59.4,237.6,-31.320002,574.2,719.19995
120178.68,147506.4,260.55002,315.9,24.300001,90.450005,138.24,43.2,441.96,421.08
127604.92,83002.055,268.65,207.90001,137.7,47.25,89.64001,-6.4800005,396.72,589.27997
153880.12,176041.36,305.1,226.8,222.75,-51.3,386.64,22.68,461.68,512.72
115800.4,97899.305,253.8,164.7,275.4,135.0,268.92,28.080002,336.4,488.36
131808.4,123842.25,349.65,234.90001,391.5,-76.950005,324.0,18.36,406.0,528.95996
211517.2,262143.0,1857.6,1337.85,1451.25,232.2,617.76,8.64,1898.9199,2889.5598
181661.36,262143.0,2262.6,1587.6,1879.2001,284.85,847.80005,251.64001,1994.0399,3344.2798
139293.52,139542.75,184.95,151.2,189.0,17.550001,272.16,-81.0,414.12,447.75998
114609.0,147137.86,286.2,186.3,253.8,35.100002,360.72,21.6,489.52,525.48
128518.484,171221.86,271.35,195.75,472.5,-20.25,375.84003,78.840004,513.88,562.6
124040.84,118072.35,193.05,143.1,299.7,18.9,197.64001,15.120001,358.44,322.47998
97096.805,116154.0,178.2,209.25,247.05,10.8,349.92,177.12001,276.08,382.8
136230.84,136019.25,178.2,-25.65,292.95,63.45,288.36002,39.960003,469.8,461.68
130984.086,178704.9,336.15,282.15,457.65,16.2,200.88,130.68001,539.39996,591.6
138506.0,147988.36,224.1,179.55,121.5,-6.75,334.80002,6.4800005,401.36,509.24
125835.766,142048.36,284.85,99.9,194.40001,14.85,245.16,87.48,451.24,409.47998
89176.52,75053.25,340.2,554.85004,265.95,72.9,171.72,88.560005,322.47998,385.12
143611.08,179941.5,274.05002,124.200005,255.15001,47.25,291.6,171.72,527.8,544.04
136981.56,167054.4,216.0,255.15001,287.55002,-4.05,240.84001,57.24,553.32,627.56
123628.68,167972.4,352.35,333.45,342.9,17.550001,495.72003,140.40001,517.36,626.39996
134584.97,186912.9,179.55,205.2,427.95,54.0,187.92001,36.72,551.0,573.04
123882.6,144749.7,309.15,202.5,180.90001,40.5,73.44,91.8,481.4,656.56
128294.92,163194.75,313.2,141.75,245.7,25.65,402.84003,66.96,440.8,580.0
130333.64,127947.6,272.7,93.15,156.6,25.65,120.96001,92.880005,458.19998,425.72
136380.8,164164.05,191.7,175.5,238.95,20.25,231.12001,-79.920006,440.8,646.12
150974.77,216546.75,229.5,261.9,541.35004,2.7,502.2,10.8,692.51996,664.68
113550.086,103920.305,274.05002,195.75,334.80002,-22.95,298.08002,-5.4,327.12,455.87997
140990.0,173453.4,419.85,201.15001,225.45,-1.35,381.24002,3.2400002,519.68,599.72
32377.56,23301.0,2.7,116.1,93.15,29.7,35.640003,73.44,51.039997,29.0
133370.56,152609.4,228.15001,315.9,252.45,33.75,326.16,84.240005,401.36,525.48
126022.52,131025.6,179.55,64.8,222.75,18.9,259.2,-88.560005,342.19998,486.03998
123714.24,107819.1,236.25,122.85,365.85,58.05,116.64001,78.840004,293.47998,327.12
117647.766,149958.0,270.0,271.35,422.55002,1.35,-1.08,234.36002,412.96,491.84
145942.36,219742.2,1543.05,1227.15,1556.55,72.9,932.04004,156.6,1250.48,2343.2
133834.25,152685.0,270.0,183.6,72.9,-25.65,133.92,1.08,366.56,513.88
157992.52,139671.0,340.2,243.0,109.35,72.9,105.840004,28.080002,316.68,528.95996
147307.64,154237.5,163.35,318.6,265.95,59.4,191.16,-34.56,489.52,503.43997
125016.04,169771.95,252.45,234.90001,70.200005,-9.45,321.84003,44.280003,387.44,513.88
109940.92,62797.95,292.95,184.95,233.55,55.350002,120.96001,64.8,196.04,348.0
110554.56,117582.305,170.1,31.050001,405.0,63.45,214.92001,56.160004,316.68,489.52
127650.0,121097.7,218.7,162.0,237.6,51.3,159.84001,88.560005,407.15997,474.43997
190736.25,160714.8,378.0,274.05002,193.05,14.85,302.40002,116.64001,437.31998,662.36
121893.56,141492.16,230.85,109.35,434.7,81.0,182.52,198.72,366.56,486.03998
127245.2,132000.3,253.8,164.7,217.35,102.6,359.64,153.36,396.72,380.47998
123498.04,129077.555,156.6,82.35,167.40001,40.5,262.44,-5.4,404.84,402.52
136846.33,148942.8,236.25,157.95,519.75,101.25,186.84001,49.68,401.36,639.16
244047.48,64685.25,585.9,423.9,297.0,75.6,174.96,137.16,223.87999,613.63995
40111.082,20958.75,116.1,149.85,81.0,-55.350002,64.8,10.8,73.079994,117.159996
121718.766,167800.95,291.6,276.75,552.15,55.350002,271.08002,5.4,517.36,576.51996
108530.56,142379.11,199.8,263.25,346.95,2.7,231.12001,21.6,416.44,512.72
121895.4,142650.45,226.8,259.2,365.85,22.95,125.28001,-8.64,499.96,509.24
130318.92,183250.36,214.65001,272.7,140.40001,2.7,144.72,62.640003,488.36,571.88
119551.24,137053.36,271.35,279.45,224.1,-8.1,57.24,38.88,437.31998,451.24
105228.68,101864.25,118.8,122.85,178.2,24.300001,183.6,153.36,332.91998,339.88
145890.84,165574.8,284.85,238.95,234.90001,-1.35,292.68002,-12.960001,501.12,537.07996
165083.89,262143.0,1993.9501,1609.2001,1533.6,247.05,1151.28,95.04,1933.72,3045.0
120225.6,127569.6,141.75,202.5,117.450005,83.700005,292.68002,100.44,409.47998,422.24
192314.97,262143.0,1692.9,1695.6,1503.9,261.9,1143.7201,282.96002,2129.76,3295.5598
133374.25,177811.2,278.1,135.0,140.40001,59.4,380.16,-23.76,464.0,553.32
112764.4,70879.055,268.65,319.95,60.75,52.65,63.72,29.160002,207.64,338.72
116403.0,152608.05,238.95,183.6,83.700005,67.5,165.24,49.68,411.8,306.24
125141.164,152535.16,176.85,167.40001,238.95,-5.4,60.480003,135.0,429.19998,556.8
98924.84,69835.5,257.85,202.5,105.3,17.550001,167.40001,91.8,247.07999,410.63998
137057.92,166626.45,459.0,243.0,270.0,48.600002,308.88,-4.32,476.75998,647.27997
119463.84,131463.0,271.35,145.8,229.5,66.15,223.56001,98.28001,403.68,409.47998
110589.52,72472.055,256.5,382.05002,183.6,28.35,114.48,17.28,278.4,204.15999
122660.84,131637.16,307.80002,199.8,230.85,-24.300001,151.20001,4.32,447.75998,551.0
167709.56,262143.0,2211.3,2034.4501,2224.8,264.6,1545.4801,213.84001,2314.2,3897.5999
116190.484,76910.85,126.9,437.4,264.6,41.850002,101.520004,-41.04,361.91998,457.03998
130291.32,183705.3,307.80002,348.30002,417.15,130.95,168.48001,20.52,540.56,641.48
151454.08,161912.25,337.5,205.2,375.30002,114.75,298.08002,46.440002,483.72,556.8
144181.48,192161.7,255.15001,230.85,390.15,91.8,199.8,33.48,510.4,580.0
124243.24,133767.45,174.15001,70.200005,217.35,27.0,359.64,-75.600006,395.56,460.52
135744.16,155440.36,190.35,27.0,491.4,14.85,51.840004,35.640003,436.15997,470.96
106553.484,177080.86,340.2,97.200005,133.65001,144.45,255.96,98.28001,480.24,566.07996
